id,record_key,pid,title,office_id,office_code_string,contracting_office_uic,follow_on_or_new,predecessor_refs,valid_from,evidence_id
need:lrae_navwar_2024-06:k:b619f0b4ee5f,k:b619f0b4ee5f,,CVN 81 RCS/DS/SSES (C),pmw:750,PMW-750 - PMW-750 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row176
need:lrae_navwar_2024-06:k:aa6719ae6ed7,k:aa6719ae6ed7,,PSS Recompete/20F3016 Follow-On (C),pmw:160,PMW-160 - PMW-160 - NAVWAR,N00039,Follow-on,N0003920F3016,2024-06-20,ev:lrae_navwar_2024-06:row177
need:lrae_navwar_2024-06:k:4ec50a467cfc,k:4ec50a467cfc,,NILE End to End Test Station (C),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row178
need:lrae_navwar_2024-06:k:4a37978aaa5a,k:4a37978aaa5a,,CANES MAC- N0003924R9108 (C),pmw:160,PMW-160 - PMW-160 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row179
need:lrae_navwar_2024-06:k:4b6591ac8346,k:4b6591ac8346,,"NSC2I LUSV 1, PHASES 1-5 (C)",pmw:760,PMW-760 - PMW-760 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row180
need:lrae_navwar_2024-06:k:3ab5f2b3230d,k:3ab5f2b3230d,,NSC2I.  FFG 64.  PHASES 2-5. (C),pmw:760,PMW-760 - PMW-760 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row181
need:lrae_navwar_2024-06:k:160b2f503cae,k:160b2f503cae,,MIDS-LVT Lot 25 Procurement Buy (C),pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row183
need:lrae_navwar_2024-06:k:c869443d6b1d,k:c869443d6b1d,,06 MOS Mod BPA Call 7 (DLS) (C),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row185
need:lrae_navwar_2024-06:k:620d5245f72c,k:620d5245f72c,,06 MOS Mod BPA Call 7 (DRS) (C),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row186
need:lrae_navwar_2024-06:k:f3c6ec89315a,k:f3c6ec89315a,,NSC2I.  TARC.  PHASE 1-5 (C),pmw:760,PMW-760 - PMW-760 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row187
need:lrae_navwar_2024-06:k:21b192f072ef,k:21b192f072ef,,MOS Mod UPS & Control (C),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row188
need:lrae_navwar_2024-06:k:5786a67d8ef9,k:5786a67d8ef9,,MIDS WDL SF (C),peo:c4i,C4IEXEC - PEO C4I Front Office - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row189
need:lrae_navwar_2024-06:k:5ed717fe88ce,k:5ed717fe88ce,,Visual strategy and collaboration tool for PMW 150 (C),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row190
need:lrae_navwar_2024-06:k:e4cb1e08c824,k:e4cb1e08c824,,NSC2I LPD 32-33 Phases 2-5. Updated (C),pmw:760,PMW-760 - PMW-760 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row191
