id,need_id,identifier,identifier_type,as_stated,resolved_in_fpds,evidence_ref
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-790-0153:N0003924F2167,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-790-0153,N0003924F2167,piid,NNG15SC82BN0003924F2167,yes,sha256:ea4f22162876c1fbea9dd77caa66ddd7c8da9f562ab844aa0cc84ba17333d40b
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-790-0153:NNG15SC82B,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW-790-0153,NNG15SC82B,piid,NNG15SC82BN0003924F2167,yes,sha256:29c29b788fedecb061b7dd6706a2feb06c88395f2579941a17a3afecf9950ea4
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0001:N0003916C0087,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0001,N0003916C0087,piid,N0003916C0087,yes,sha256:e3b01f63b002c4526c1ec2b6364f7ca71dc8aeeb8396b04f5948adc65b9c7772
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0239:N0003921F3004,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0239,N0003921F3004,piid,N0017819D7769N0003921F3004,yes,sha256:14d68ea4e770bed6aba4855104c50d18f5034cba14df88a5b88d3266c67dfd85
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0239:N0017819D7769,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0239,N0017819D7769,piid,N0017819D7769N0003921F3004,yes,sha256:a90dd1699fdc2d475da1e54e70c0c6f298090b81bbfee49afd8ea689686e0392
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0240:N0003921F3012,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0240,N0003921F3012,piid,N0017819D7769N0003921F3012,yes,sha256:5f7b75c1ea372b8e497472e819865add54b882ae5920daeb7a1fd1dce678811a
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0240:N0017819D7769,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0240,N0017819D7769,piid,N0017819D7769N0003921F3012,yes,sha256:a90dd1699fdc2d475da1e54e70c0c6f298090b81bbfee49afd8ea689686e0392
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0277:N0003922D0070,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0277,N0003922D0070,piid,N0003922D0070,yes,sha256:92860d61b1ee72f44c4dffa2f77a616efcc43dbc59728b077df8675b8138d94a
pref:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0334:N0003914C00041,need:lrae_navwar_2025-06:N00039-25-RFPREQ-PMW/A-170-0334,N0003914C00041,piid,N0003914C00041,no,sha256:64617734074f13033de065fe3497045f8aacfc1baccbe093bd1addf7769aa22a
pref:lrae_navwar_2025-06:N00039-26-RFPREQ-PMA/PMW-101-0005:N0017819D7675,need:lrae_navwar_2025-06:N00039-26-RFPREQ-PMA/PMW-101-0005,N0017819D7675,piid,N0017819D7675,yes,sha256:639f12a42cef83cca115e79eb7f5c85a35fd9df0ad3c1b233571bdf47a687f39
